,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/4/18,5526,1107,66796807,18058.0,66778749.0,8.275087633043261e-05,1.657712994893031e-05,1.3207721187682218e-05,7.524808111529536e-05
2020/4/19,5850,434,66796807,18492.0,66778315.0,8.760328858252862e-05,6.499115768344859e-06,1.3165107676812069e-05,7.491952756437969e-05
2020/4/20,4676,573,66796807,19065.0,66777742.0,7.002333202581184e-05,8.580703432589859e-06,1.242079569190202e-05,7.484550815118891e-05
2020/4/21,4301,1228,66796807,20293.0,66776514.0,6.440887285610627e-05,1.8389699108881306e-05,1.2630631164964605e-05,7.43908719459926e-05
2020/4/22,4451,861,66796807,21154.0,66775653.0,6.665603105371355e-05,1.2893921082284287e-05,1.2025368820609218e-05,7.30803899865772e-05
2020/4/23,4583,689,66796807,21843.0,66774964.0,6.863350761222425e-05,1.0318238434392866e-05,1.1909915775897628e-05,7.011401233354242e-05
2020/4/24,5386,1012,66796807,22855.0,66773952.0,8.06601951611311e-05,1.5155610379328754e-05,1.1405100233207185e-05,6.933176730547672e-05
2020/4/25,4913,824,66796807,23679.0,66773128.0,7.357750261452482e-05,1.234029353844259e-05,1.0870426409150832e-05,6.86799215238982e-05
2020/4/26,4463,380,66796807,24059.0,66772748.0,6.683864501128515e-05,5.690944455363736e-06,1.0729356409862966e-05,6.787831656864341e-05
2020/4/27,4310,337,66796807,24396.0,66772411.0,6.454761682935187e-05,5.046994633756747e-06,1.0648163715291307e-05,7.097924271415715e-05
2020/4/28,3996,978,66796807,25374.0,66771433.0,5.984595238505664e-05,1.4646982340486836e-05,1.004281913426768e-05,7.272379796817644e-05
2020/4/29,4076,795,66796807,26169.0,66770638.0,6.104479636693002e-05,1.1906431087269227e-05,9.602183237872093e-06,7.249556895833788e-05
2020/4/30,6032,651,66796807,26820.0,66769987.0,9.03399906308204e-05,9.74988957239126e-06,9.379718917794854e-06,7.22308863367036e-05
2020/5/1,6201,729,66796807,27549.0,66769258.0,9.287208193926612e-05,1.0918198312163362e-05,9.262087537407717e-06,7.153611344599651e-05
2020/5/2,4806,618,66796807,28167.0,66768640.0,7.197989954565496e-05,9.255842263673484e-06,8.759403700042484e-06,7.241388438582912e-05
2020/5/3,4339,276,66796807,28443.0,66768364.0,6.498586665984507e-05,4.133694214823056e-06,8.52200423622549e-06,7.676858839493994e-05
2020/5/4,3985,282,66796807,28725.0,66768082.0,5.96842065944024e-05,4.223574971046795e-06,8.209693304341357e-06,7.587495042878933e-05
2020/5/5,4406,743,66796807,29468.0,66767339.0,6.599034896388487e-05,1.11281954789302e-05,7.967996013919699e-06,7.255490092889775e-05
2020/5/6,6111,684,66796807,30152.0,66766655.0,9.152772443070572e-05,1.0244634840550272e-05,7.343273213579586e-06,7.060830758819344e-05
2020/5/7,5614,505,66796807,30657.0,66766150.0,8.408452486776607e-05,7.563713049202328e-06,7.274832814553898e-06,6.97186642287697e-05
2020/5/8,4649,616,66796807,31273.0,66765534.0,6.96317354400251e-05,9.226317279211756e-06,7.105825836440481e-06,6.948799979883637e-05
2020/5/9,3896,326,66796807,31599.0,66765208.0,5.835374616072491e-05,4.88278266129269e-06,6.973240142347546e-06,6.734231021448689e-05
2020/5/10,3923,244,66796807,31843.0,66764964.0,5.8758363143878875e-05,3.654611421643244e-06,6.5731748884634045e-06,6.120397915365231e-05
